Black Body Radiation Experiment Tue, Oct 30, 2018 3:36 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00897
0.00000	0.00993
0.00000	0.00832
0.00000	0.00671
0.00000	0.01074
0.00000	0.00800
0.00000	0.00977
0.00000	0.00687
0.00000	0.00945
0.00000	0.01122
0.00000	0.00929
0.00000	0.00832
-0.01035	0.00752
-0.01035	0.00864
-0.01035	0.00961
-0.01035	0.01219
-0.01035	0.00752
-0.01035	0.00816
-0.01035	0.00720
-0.01035	0.00977
-0.01035	0.00720
-0.01035	0.00559
0.00000	0.00623
0.00000	0.00736
0.00000	0.00687
0.00000	0.01138
0.00000	0.00655
0.00000	0.00961
0.00000	0.00945
0.00000	0.00703
0.00000	0.01042
0.00000	0.00929
0.00000	0.01186
0.00000	0.01058
0.00000	0.01122
0.00000	0.00703
0.00000	0.00703
0.00000	0.00671
0.00000	0.01074
0.00000	0.01058
0.00000	0.00913
0.00000	0.00768
0.00000	0.01009
0.00000	0.00800
0.00000	0.01025
0.00000	0.00913
0.00000	0.01219
0.00000	0.00832
0.00000	0.01219
0.00000	0.01025
0.00000	0.00913
0.00000	0.00671
0.00000	0.00784
0.00000	0.00687
0.00000	0.00864
0.00000	0.00864
0.00000	0.00961
0.00000	0.01090
0.00000	0.00832
0.00000	0.00881
0.00000	0.01025
0.00000	0.00832
0.00000	0.01170
0.00000	0.00848
0.00000	0.00832
0.00000	0.00703
0.00000	0.00848
0.00000	0.01009
0.00000	0.00591
0.00000	0.00736
0.00000	0.00864
0.00000	0.00736
0.00000	0.00720
0.00000	0.00575
0.00000	0.00961
0.00000	0.00784
0.00000	0.00977
0.00000	0.01090
0.00000	0.01219
0.00000	0.01202
0.00000	0.00961
0.00000	0.00446
0.00000	0.00961
0.00000	0.01042
0.00000	0.00784
0.00000	0.01106
0.00000	0.00848
0.00000	0.00913
0.00000	0.00784
0.00000	0.00800
0.01035	0.00800
0.01035	0.00993
0.01035	0.00945
0.01035	0.00720
0.01035	0.00671
0.01035	0.01299
0.01035	0.00945
0.01035	0.00526
0.01035	0.00784
0.02070	0.01090
0.02070	0.01138
0.02070	0.00720
0.02070	0.00913
0.02070	0.01154
0.02070	0.00671
0.02070	0.00752
0.02070	0.00913
0.02070	0.00800
0.02070	0.00784
0.02070	0.01042
0.02070	0.00832
0.02070	0.00832
0.02070	0.01058
0.02070	0.00768
0.02070	0.01186
0.03104	0.00671
0.03104	0.01106
0.03104	0.01138
0.03104	0.00945
0.03104	0.01202
0.03104	0.00961
0.03104	0.00816
0.03104	0.00752
0.03104	0.01090
0.03104	0.01202
0.03104	0.01235
0.04139	0.00848
0.04139	0.01154
0.04139	0.01009
0.04139	0.00639
0.04139	0.01042
0.05174	0.00977
0.05174	0.01025
0.05174	0.01025
0.05174	0.00655
0.05174	0.00671
0.05174	0.00768
0.05174	0.00977
0.05174	0.01106
0.05174	0.01154
0.05174	0.01219
0.06209	0.00832
0.06209	0.00559
0.06209	0.01122
0.06209	0.00800
0.06209	0.00784
0.06209	0.00687
0.06209	0.00913
0.06209	0.00993
0.06209	0.00591
0.07244	0.00800
0.07244	0.01138
0.07244	0.00703
0.07244	0.00687
0.08279	0.00720
0.08279	0.00913
0.08279	0.01202
0.08279	0.00897
0.09313	0.00913
0.09313	0.00913
0.10348	0.00881
0.10348	0.01009
0.11383	0.00816
0.11383	0.00993
0.12418	0.00945
0.14487	0.00832
0.17592	0.01186
0.24836	0.01009
0.34149	0.00929
0.45532	0.00977
0.58985	0.00848
0.73472	0.00864
0.88994	0.00800
1.03482	0.01154
1.12795	0.00881
1.20039	0.00784
1.26248	0.00526
1.30387	0.01025
1.32457	0.00768
1.34527	0.01186
1.37631	0.00848
1.40735	0.00575
1.44875	0.01138
1.51084	0.00929
1.59362	0.00639
1.70745	0.00655
1.84198	0.00720
1.99720	0.01058
2.15242	0.00687
2.33869	0.00864
2.51461	0.01090
2.66983	0.00977
2.80436	0.01283
2.93889	0.01154
3.08376	0.01202
3.21829	0.00929
3.35282	0.00832
3.45630	0.01009
3.58048	0.01138
3.69431	0.00864
3.79779	0.00478
3.91162	0.01090
3.99440	0.01122
4.10823	0.00752
4.19102	0.00961
4.30485	0.00881
4.42903	0.00881
4.53251	0.00881
4.61530	0.00478
4.69808	0.00752
4.79121	0.01122
4.87400	0.01058
4.95679	0.00687
5.04992	0.00864
5.14305	0.01090
5.25688	0.00881
5.38106	0.00929
5.53628	0.01170
5.66046	0.01219
5.79499	0.00575
5.90882	0.00945
6.06404	0.00816
6.23996	0.00929
6.44693	0.00864
6.64354	0.01267
6.87120	0.01283
6.98503	0.00864
7.12991	0.01090
7.26443	0.00881
7.40931	0.01186
7.54383	0.00800
7.69906	0.01025
7.86463	0.00768
8.01985	0.00977
8.20612	0.01202
8.39239	0.01251
8.58900	0.01025
8.79597	0.01090
9.01328	0.00639
9.16850	0.01154
9.33407	0.00929
9.48930	0.00671
9.63417	0.00559
9.76870	0.00832
9.88253	0.01106
9.97566	0.00784
10.05845	0.01122
10.15158	0.00446
10.21367	0.00768
10.28611	0.00913
10.36889	0.01090
10.46203	0.00864
10.54481	0.01074
10.63795	0.01090
10.71038	0.01058
10.78282	0.00929
10.86561	0.00993
10.93804	0.00832
11.03118	0.01186
11.11396	0.01025
11.21744	0.01042
11.32093	0.01106
11.41406	0.01202
11.49685	0.00720
11.60033	0.01090
11.69346	0.01460
11.77625	0.00800
11.89008	0.01042
11.98321	0.01154
12.05565	0.00784
12.13843	0.00768
12.21087	0.01219
12.28331	0.00848
12.35575	0.00687
12.42818	0.01154
12.51097	0.01267
12.58341	0.01186
12.65584	0.00768
12.71793	0.01106
12.79037	0.01267
12.85246	0.00784
12.93525	0.00816
13.00768	0.01315
13.09047	0.01025
13.17325	0.00832
13.27674	0.01235
13.38022	0.01283
13.49405	0.01235
13.59753	0.01219
13.73206	0.00897
13.85623	0.00929
13.97006	0.01186
14.09424	0.00848
14.21842	0.01106
