Black Body Radiation Experiment Tue, Oct 30, 2018 2:57 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.06385
0.00000	0.06884
0.00000	0.06208
0.00000	0.07415
0.00000	0.07850
0.00000	0.09347
0.00000	0.07947
0.00000	0.08043
0.00000	0.04937
0.00000	0.05677
0.00000	0.06675
0.00000	0.07110
0.00000	0.06273
0.00000	0.05001
0.00000	0.06482
0.00000	0.06144
0.00000	0.05259
0.00000	0.05838
0.00000	0.04888
0.00000	0.06627
0.00000	0.06804
0.00000	0.05581
0.00000	0.05935
0.00000	0.06224
0.00000	0.05661
0.00000	0.05854
0.00000	0.05371
0.00000	0.07061
0.00000	0.04502
0.00000	0.06112
0.00000	0.06160
0.00000	0.06273
0.00000	0.07142
0.00000	0.06578
0.00000	0.04792
0.00000	0.06562
0.00000	0.07045
0.00000	0.06691
0.00000	0.06884
0.00000	0.04808
0.00000	0.07415
0.00000	0.05741
0.00000	0.04277
0.00000	0.04985
0.00000	0.07319
0.00000	0.06305
0.00000	0.04502
0.00000	0.05886
0.00000	0.08156
0.00000	0.06353
0.00000	0.05323
0.00000	0.06047
0.00000	0.07238
0.00000	0.04470
0.00000	0.05806
0.00000	0.05935
0.00000	0.06965
0.00000	0.06707
0.00000	0.06080
0.00000	0.04856
0.00000	0.06434
0.00000	0.07238
0.00000	0.06836
0.00000	0.04679
0.00000	0.05999
0.00000	0.07367
0.00000	0.06224
0.00000	0.05790
0.00000	0.05259
0.00000	0.05564
0.00000	0.05758
0.00000	0.07753
0.00000	0.07255
0.00000	0.05082
0.00000	0.04534
0.00000	0.07303
0.00000	0.06401
0.00000	0.04518
0.00000	0.05194
0.00000	0.07303
0.00000	0.07383
0.00000	0.05548
0.00000	0.04953
0.00000	0.05790
0.00000	0.08397
0.00000	0.04985
0.00000	0.04373
0.00000	0.06257
0.00000	0.07061
0.00000	0.04856
0.00000	0.06578
0.00000	0.05967
0.00000	0.07673
0.00000	0.06530
0.00000	0.04406
0.00000	0.06015
0.00000	0.07142
0.00000	0.06643
0.00000	0.07110
0.00000	0.04921
0.00000	0.05420
0.00000	0.06176
0.00000	0.05951
0.00000	0.06595
0.00000	0.05484
0.00000	0.06659
0.00000	0.07576
0.00000	0.04502
0.00000	0.05275
0.00000	0.06466
0.00000	0.06836
0.00000	0.06643
0.00000	0.06739
0.00000	0.07094
0.00000	0.06691
0.00000	0.06047
0.00000	0.06273
0.00000	0.05581
0.00000	0.07834
0.00000	0.06337
0.00000	0.05613
0.00000	0.06482
0.00000	0.07593
0.00000	0.05677
0.00000	0.05870
0.00000	0.07464
0.00000	0.07882
0.00000	0.05886
0.00000	0.07190
0.00000	0.06836
0.00000	0.06015
0.00000	0.06949
0.00000	0.06836
0.00000	0.06756
0.00000	0.06224
0.00000	0.07399
0.00000	0.07609
0.00000	0.06080
0.00000	0.06868
0.00000	0.04905
0.00000	0.06160
0.00000	0.08365
0.00000	0.08172
0.00000	0.06418
0.00000	0.06096
0.00000	0.07673
0.00000	0.05919
0.00000	0.06401
0.00000	0.05902
0.00000	0.07238
0.00000	0.05516
0.00000	0.05484
0.00000	0.07786
0.00000	0.07802
0.00000	0.06627
0.00000	0.08526
0.00000	0.05919
0.00000	0.07383
0.00000	0.07110
0.00000	0.05033
0.00000	0.08059
0.00000	0.07367
0.00000	0.07464
0.00000	0.06289
0.00000	0.07721
0.00000	0.07126
0.00000	0.06595
0.00000	0.05967
0.00000	0.05436
0.00000	0.07625
0.00000	0.08011
0.00000	0.05886
0.00000	0.07206
0.00000	0.09009
0.00000	0.07399
0.00000	0.08236
0.00000	0.06627
0.00000	0.05564
0.00000	0.07673
0.00000	0.08397
0.00000	0.07255
0.00000	0.06788
0.00000	0.06836
0.00000	0.07238
0.01035	0.07094
0.01035	0.08317
0.01035	0.06884
0.01035	0.07029
0.01035	0.07222
0.01035	0.06997
0.01035	0.05098
0.01035	0.06981
0.01035	0.06514
0.01035	0.07673
0.01035	0.04792
0.01035	0.06707
0.01035	0.08623
0.02070	0.07190
0.02070	0.05693
0.02070	0.06321
0.02070	0.05259
0.02070	0.08091
0.02070	0.07593
0.02070	0.07013
0.03104	0.05243
0.03104	0.06707
0.03104	0.06756
0.03104	0.07721
0.03104	0.05355
0.04139	0.06080
0.04139	0.07544
0.04139	0.06305
0.05174	0.06884
0.05174	0.06562
0.05174	0.06353
0.05174	0.06514
0.06209	0.06546
0.06209	0.05162
0.06209	0.05339
0.06209	0.07496
0.07244	0.06096
0.07244	0.06418
0.07244	0.05130
0.08279	0.07158
0.08279	0.07657
0.09313	0.06627
0.10348	0.05597
0.12418	0.04824
0.15522	0.06208
0.18627	0.06514
0.22766	0.07448
0.28975	0.07448
0.37254	0.07609
0.44497	0.06418
0.55880	0.08413
0.66228	0.06240
0.77611	0.06192
0.87960	0.05709
0.97273	0.05146
1.03482	0.06208
1.09691	0.06498
1.14865	0.05645
1.19004	0.05548
1.22109	0.05564
1.23144	0.05854
1.24178	0.05951
1.24178	0.07979
1.25213	0.07593
1.26248	0.06273
1.27283	0.05581
1.28318	0.06756
1.29352	0.04711
1.30387	0.05532
1.32457	0.05243
1.34527	0.05790
1.37631	0.05243
1.40735	0.05758
1.43840	0.06305
1.47979	0.06015
1.52118	0.05403
1.58327	0.06144
1.64536	0.05355
1.72815	0.04760
1.81093	0.06031
1.88337	0.04792
1.93511	0.05967
1.99720	0.06224
2.04894	0.05693
2.10068	0.07077
2.16277	0.04953
2.20417	0.06257
2.25591	0.06128
2.29730	0.06128
2.33869	0.05033
2.36974	0.06353
2.41113	0.06385
2.46287	0.05693
2.51461	0.05468
2.56635	0.05838
2.61809	0.05339
2.68018	0.06176
2.75262	0.06047
2.83541	0.07496
2.91819	0.09186
3.01133	0.07898
3.11481	0.07657
3.22864	0.07882
3.36316	0.07399
3.49769	0.06965
3.64257	0.07914
3.80814	0.06257
4.00475	0.05645
4.14963	0.05693
4.32555	0.06080
4.46007	0.06080
4.60495	0.05001
4.69808	0.07544
4.78087	0.07963
4.89470	0.07029
4.96713	0.08333
5.03957	0.07383
5.09131	0.08285
5.14305	0.08655
5.18445	0.07770
5.22584	0.09009
5.26723	0.07786
5.30862	0.07335
5.33967	0.07544
5.38106	0.06739
5.43280	0.08027
5.49489	0.06482
5.56733	0.06933
5.67081	0.06434
5.79499	0.06289
5.92952	0.06240
6.07439	0.07238
6.21927	0.06096
6.38484	0.06900
6.55041	0.06707
6.71598	0.06160
6.88155	0.06627
7.03677	0.06482
7.18165	0.06401
7.31617	0.06176
7.45070	0.07029
7.56453	0.07770
7.67836	0.08172
7.78184	0.08236
7.88533	0.08510
7.98881	0.07705
8.06124	0.07206
8.15438	0.06949
8.25786	0.07238
8.34065	0.07818
8.44413	0.07673
8.55796	0.05548
8.66144	0.08365
8.76492	0.08430
8.87875	0.09234
9.00293	0.09524
9.11676	0.08800
9.25129	0.07432
9.33407	0.07818
9.40651	0.07850
9.46860	0.08027
9.52034	0.09283
9.57208	0.08526
9.61347	0.08896
9.65487	0.07222
9.68591	0.07641
9.72730	0.07287
9.75835	0.06160
9.79974	0.07287
9.84113	0.06643
9.89288	0.07512
9.94462	0.07367
9.99636	0.07158
10.03775	0.07528
10.09984	0.08220
10.15158	0.07721
10.21367	0.09073
10.28611	0.08928
10.35854	0.08784
10.43098	0.07110
10.51377	0.08832
10.58620	0.07882
10.68969	0.08011
10.77247	0.07834
10.86561	0.06691
10.94839	0.08430
11.03118	0.08188
11.11396	0.07963
11.19675	0.08751
11.30023	0.08204
11.38302	0.07576
11.47615	0.06772
11.56928	0.07963
11.68311	0.07077
11.79694	0.08108
11.92112	0.07126
12.04530	0.07963
12.16948	0.09299
12.29366	0.08301
12.42818	0.07399
12.56271	0.08317
12.69724	0.08172
12.83176	0.05629
12.97664	0.08027
13.11116	0.06530
13.25604	0.08430
13.40091	0.08912
13.53544	0.09283
13.66997	0.07914
13.81484	0.08494
13.93902	0.08124
14.05285	0.08832
14.15633	0.07947
14.24947	0.05645
14.34260	0.06804
14.41504	0.06772
14.48747	0.06981
14.55991	0.07721
14.63235	0.08140
14.68409	0.08494
14.74618	0.09089
14.81862	0.09685
14.89105	0.09782
15.00488	0.10377
15.09802	0.09733
15.23254	0.09701
15.32568	0.09363
15.42916	0.11198
15.53264	0.12051
15.65682	0.15689
15.77065	0.17250
15.90518	0.21870
16.06040	0.23930
16.21562	0.27052
16.38119	0.34762
16.54677	0.41635
16.68129	0.45450
16.79512	0.52838
16.88826	0.60677
17.00209	0.69900
17.09522	0.76531
17.20905	0.81762
17.32288	0.86382
17.44706	0.96425
17.58159	1.02510
17.70576	1.07580
17.82994	1.11604
17.96447	1.14405
18.08865	1.17141
18.19213	1.20296
18.31631	1.19764
18.43014	1.16095
18.53362	1.14823
18.63710	1.12666
18.74058	1.11218
18.82337	1.09206
18.89581	1.05729
18.97859	1.03250
19.07173	1.00739
19.14416	0.95411
19.21660	0.91468
19.28904	0.86108
19.35113	0.81263
19.41322	0.74583
19.46496	0.69916
19.51670	0.65779
19.55809	0.60677
19.60983	0.55236
19.65122	0.51760
19.71331	0.46979
19.77540	0.44243
19.83749	0.41362
19.89958	0.37483
19.97202	0.35036
20.06515	0.31189
20.14794	0.28775
20.23072	0.27471
20.32386	0.26264
20.41699	0.22481
20.52047	0.21628
20.61361	0.20807
20.71709	0.18409
20.81022	0.16622
20.92405	0.15995
21.04823	0.14514
21.18276	0.12212
21.30694	0.12679
21.44146	0.12115
21.56564	0.10441
21.70017	0.10441
21.84504	0.11069
21.92783	0.12341
22.07270	0.10490
22.19688	0.11021
22.32106	0.12453
22.44524	0.10860
22.55907	0.08848
22.68325	0.08896
22.79708	0.09411
22.92125	0.08639
23.05578	0.10602
23.16961	0.10506
23.30414	0.10103
23.42832	0.11311
23.56284	0.09846
23.69737	0.08156
23.81120	0.09089
23.93538	0.08397
24.04921	0.08574
24.15269	0.08719
24.24582	0.09444
24.32861	0.09266
24.40105	0.10071
24.47348	0.10136
24.53557	0.10458
24.59766	0.10731
24.65975	0.10586
24.72184	0.10490
24.77358	0.11858
24.83567	0.10055
24.88741	0.08285
24.92880	0.09283
24.98055	0.08446
25.03229	0.09025
25.07368	0.08317
25.12542	0.09041
25.17716	0.09733
25.24960	0.10377
25.31169	0.10264
25.39447	0.11439
25.47726	0.09653
25.57039	0.08510
25.66353	0.10264
25.76701	0.07947
25.86014	0.09073
25.98432	0.10377
26.10850	0.09331
26.23268	0.11922
26.35686	0.11118
26.50173	0.10313
26.65695	0.11504
26.79148	0.11085
26.93635	0.10264
27.08123	0.08639
27.21576	0.09524
27.36063	0.09266
27.52620	0.09749
27.68142	0.11005
27.84700	0.10683
27.98152	0.12051
28.13675	0.12115
28.30232	0.12888
28.47824	0.10570
28.63346	0.10779
28.76799	0.10458
28.90251	0.09878
29.01634	0.08961
29.14052	0.09701
29.23365	0.08574
29.33714	0.09878
29.41992	0.09685
29.51306	0.11584
29.60619	0.10619
29.68897	0.12775
29.78211	0.11423
29.88559	0.11954
29.97872	0.11520
30.09255	0.11568
30.20638	0.11954
30.32021	0.11311
30.41335	0.11681
30.51683	0.09315
30.62031	0.10007
30.72379	0.09894
30.84797	0.10248
30.98250	0.09363
31.10668	0.10441
31.24120	0.10989
31.36538	0.12502
31.46886	0.12534
31.54130	0.12470
31.62409	0.12083
31.70687	0.12003
31.78966	0.10812
31.87244	0.10989
31.95523	0.09765
32.02767	0.10345
32.12080	0.10570
32.20359	0.11198
32.30707	0.10377
32.40020	0.10071
32.49334	0.11826
32.58647	0.10989
32.70030	0.12840
32.80378	0.11488
32.90726	0.11552
33.01075	0.12132
33.11423	0.11472
33.23841	0.11005
33.34189	0.10168
33.45572	0.10297
33.56955	0.10892
33.66268	0.12196
33.75582	0.12003
33.85930	0.12437
33.93174	0.12389
34.02487	0.13950
34.09731	0.13242
34.16974	0.12759
34.24218	0.14031
34.30427	0.12453
34.37671	0.11971
34.42845	0.12437
34.49054	0.11858
34.54228	0.11616
34.59402	0.11504
34.64576	0.10860
34.69750	0.10812
34.75959	0.10409
34.82168	0.09830
34.88377	0.10683
34.96655	0.11005
35.03899	0.10490
35.11143	0.10796
35.19421	0.11198
35.26665	0.11504
35.34944	0.11761
35.43222	0.12808
35.50466	0.13435
35.58745	0.13403
35.67023	0.12727
35.75302	0.12631
35.84615	0.12276
35.93929	0.12534
36.03242	0.11826
36.12555	0.11230
36.20834	0.09444
36.32217	0.11021
36.40495	0.11713
36.51878	0.11616
36.59122	0.12502
36.69470	0.12679
36.78784	0.11713
36.89132	0.12647
36.98445	0.14079
37.07759	0.12679
37.16037	0.14353
37.26385	0.13484
37.35699	0.13532
37.45012	0.14111
37.55360	0.13194
37.65709	0.12212
37.75022	0.10876
37.86405	0.10860
37.96753	0.12566
38.07101	0.12695
38.18484	0.10892
38.30902	0.12389
38.41250	0.10860
38.51599	0.12019
38.62982	0.10796
38.75399	0.12035
38.85748	0.11810
38.94026	0.11472
39.01270	0.12952
39.08514	0.12598
39.15757	0.13339
39.21966	0.13532
39.29210	0.13612
39.35419	0.14304
39.41628	0.15560
39.49906	0.14304
39.58185	0.13210
39.68533	0.13307
39.77847	0.12920
39.89230	0.14643
39.99578	0.14369
40.11996	0.13773
40.24413	0.14369
40.35796	0.13484
40.47179	0.13484
40.56493	0.13806
40.66841	0.12759
40.80294	0.13870
40.93746	0.13870
41.06164	0.13146
41.16512	0.12309
41.31000	0.11407
41.46522	0.13966
41.63079	0.12341
41.84811	0.12276
