Black Body Radiation Experiment Tue, Oct 30, 2018 3:13 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.01502
0.00000	-0.01099
0.00000	0.00237
0.00000	-0.00874
0.00000	0.00124
0.00000	-0.01985
0.00000	-0.01743
0.00000	-0.02033
0.00000	0.00221
0.00000	-0.01373
0.00000	-0.02612
0.00000	-0.02596
0.00000	-0.01083
0.00000	-0.01888
0.00000	-0.01003
0.00000	-0.02532
0.00000	-0.02789
0.00000	-0.00439
0.00000	0.00559
0.00000	-0.00874
0.00000	-0.00906
0.00000	-0.02049
0.00000	0.00639
0.00000	-0.00472
0.00000	-0.01872
0.00000	-0.01502
0.00000	-0.01357
0.00000	-0.00520
0.00000	-0.02435
0.00000	-0.00214
0.02070	-0.00311
0.02070	-0.01711
0.02070	-0.02628
0.03104	-0.02306
0.03104	-0.00922
0.03104	-0.00311
0.03104	-0.01437
0.04139	-0.02789
0.04139	-0.00777
0.04139	-0.00681
0.05174	-0.01824
0.05174	-0.02129
0.05174	-0.01727
0.06209	-0.02451
0.06209	-0.01453
0.07244	-0.00938
0.07244	-0.00230
0.08279	-0.02323
0.10348	-0.02145
0.11383	-0.01647
0.14487	-0.01502
0.18627	-0.01373
0.23801	-0.01727
0.33114	-0.00874
0.42428	-0.03160
0.52776	-0.01904
0.68298	-0.01824
0.81751	-0.01985
0.93134	-0.02113
1.06586	-0.02387
1.23144	-0.00681
1.39701	-0.02097
1.53153	-0.02129
1.66606	-0.01550
1.80059	-0.01308
1.90407	-0.01453
1.97651	-0.02097
2.03859	-0.03417
2.10068	-0.01405
2.16277	-0.03192
2.19382	-0.01985
2.22486	-0.02419
2.24556	-0.03095
2.26625	-0.01260
2.27660	-0.00343
2.29730	-0.00954
2.31800	-0.00311
2.34904	-0.00262
2.38009	0.00365
2.43183	-0.00970
2.49392	-0.00954
2.56635	-0.02966
2.63879	-0.02210
2.72158	-0.02226
2.82506	-0.02403
2.92854	-0.01904
3.02167	-0.01325
3.13550	-0.00649
3.25968	-0.01727
3.36316	-0.01840
3.48734	-0.02178
3.60117	-0.02693
3.72535	-0.01920
3.83918	-0.03514
3.94266	-0.01389
4.05649	-0.02290
4.13928	-0.00858
4.21172	-0.00552
4.28415	-0.01614
4.35659	-0.01131
4.42903	-0.01131
4.50147	-0.01727
4.55321	-0.02419
4.60495	-0.01743
4.66704	-0.02001
4.71878	-0.01647
4.78087	-0.02773
4.86365	-0.02113
4.94644	-0.03562
5.02922	-0.00777
5.13271	-0.00761
5.26723	-0.00568
5.40176	-0.00053
5.52594	-0.00568
5.65012	-0.01952
5.77429	-0.03176
5.88812	-0.01791
5.99161	-0.01679
6.08474	-0.01308
6.14683	-0.00842
6.19857	-0.01534
6.23996	-0.00407
6.28136	-0.01711
6.30205	-0.01856
6.34344	-0.02226
6.38484	-0.01952
6.44693	-0.00858
6.49867	0.00076
6.57110	0.00060
6.64354	-0.00681
6.72633	-0.01437
6.80911	-0.02773
6.90225	-0.02644
6.99538	-0.02564
7.10921	-0.00407
7.20234	-0.00729
7.29548	-0.00616
7.39896	0.00414
7.50244	-0.01341
7.58523	-0.00021
7.67836	-0.01260
7.76115	-0.02709
7.83358	-0.01920
7.89567	-0.01791
7.96811	-0.00922
8.01985	0.00172
8.08194	-0.00182
8.14403	-0.01003
8.20612	-0.01292
8.25786	-0.00826
