Black Body Radiation Experiment Tue, Oct 30, 2018 3:27 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.21741
0.00000	0.21757
0.00000	0.22320
0.00000	0.22063
0.00000	0.22191
0.00000	0.21709
0.00000	0.21354
0.00000	0.22127
0.00000	0.21564
0.00000	0.23994
0.00000	0.21306
0.00000	0.21161
0.00000	0.21660
0.00000	0.22884
0.00000	0.21580
0.00000	0.23511
0.00000	0.23737
0.00000	0.22304
0.00000	0.21000
0.00000	0.22014
0.00000	0.23012
0.00000	0.21451
0.00000	0.20839
0.00000	0.21242
0.00000	0.21242
0.00000	0.21033
0.00000	0.21499
0.00000	0.22143
0.00000	0.22916
0.00000	0.21483
0.00000	0.23125
0.01035	0.21483
0.01035	0.20823
0.01035	0.19745
0.02070	0.21757
0.04139	0.24059
0.05174	0.22079
0.07244	0.22465
0.11383	0.22063
0.19662	0.22835
0.37254	0.22690
0.54845	0.21966
0.72437	0.22787
0.88994	0.23125
1.02447	0.22916
1.12795	0.22707
1.26248	0.22546
1.39701	0.21274
1.49014	0.22047
1.55223	0.20067
1.60397	0.20791
1.64536	0.21596
1.67641	0.20904
1.70745	0.22127
1.72815	0.21161
1.76954	0.21435
1.80059	0.21886
1.85233	0.22851
1.90407	0.21789
1.96616	0.21548
2.02825	0.21354
2.10068	0.20614
2.18347	0.21226
2.26625	0.20566
2.35939	0.19439
2.45252	0.19858
2.59740	0.21966
2.69053	0.20035
2.78366	0.20984
2.88715	0.19697
2.98028	0.19455
3.06307	0.20340
3.12516	0.19310
3.18724	0.20405
3.25968	0.19922
3.31142	0.19938
3.36316	0.20823
3.42525	0.19938
3.46665	0.19101
3.51839	0.18666
3.58048	0.21564
3.63222	0.20984
3.67361	0.21306
3.70465	0.20823
3.75640	0.22240
3.80814	0.22030
3.85988	0.21966
3.91162	0.21435
3.96336	0.21210
4.01510	0.21902
4.06684	0.20260
4.11858	0.19648
4.18067	0.21097
4.22206	0.19970
4.26346	0.20308
4.31520	0.19922
4.35659	0.19294
4.39798	0.20276
4.44972	0.19841
4.50147	0.20035
4.53251	0.18586
4.58425	0.20856
4.64634	0.19407
4.68773	0.18940
4.73947	0.19342
4.79121	0.19503
4.84296	0.18312
4.89470	0.18248
4.97748	0.19632
5.06027	0.19632
5.13271	0.20775
5.19479	0.20389
5.27758	0.20501
5.35002	0.21403
5.42245	0.19503
5.50524	0.19342
5.57768	0.20389
5.67081	0.21548
5.75360	0.20743
5.83638	0.19890
5.90882	0.20019
5.98126	0.19890
6.05369	0.21532
6.12613	0.19777
6.19857	0.19825
6.23996	0.20421
6.30205	0.22240
6.35379	0.20485
6.40553	0.19922
6.45727	0.19198
6.50902	0.21387
6.56076	0.20485
6.61250	0.19294
6.66424	0.20308
6.71598	0.21081
6.77807	0.20469
6.82981	0.19825
6.90225	0.20582
6.98503	0.20534
7.04712	0.20566
7.12991	0.20984
7.22304	0.20437
7.31617	0.20276
7.41966	0.20035
7.50244	0.20357
7.57488	0.20115
7.64732	0.20196
7.70941	0.21725
7.77150	0.20517
7.82324	0.20163
7.86463	0.19391
7.89567	0.19520
