Floor	Divisions
3 686
4 680.5
5 665.6
6 656.6
7 645.45
8 634.65
3 692.25
9 619.8
10 610.3
11 599.77
12 584.4
13 574.2
14 560.1
15 551.7
3 690.65
0 732.1
1 717
1.5 712
2 702.3
3 689.9
4 678
5 666.6
6 654.85
7 645.2
8 632.85	
3 692.5
9 623.65
10 610.2
11 603.3
12 589.65
13 576.25
14 563.1
15 551.95
0 729.75
0.5 723.1
1 718.2
1.5 710.8
2 701.7
3 690.5
4 680.1
5 672.3
6 658.45
7 647.55
8 633.9
9 618.85
10 611.85
11 601.8
12 588.7
13 576.2
14 563.2
15 554
0 734.75
0.5 722.1
1 718.45
1.5 709.1
2 703.95
3 690.85
4 680.4
5 669
6 656.25
7 644
8 635.65
9 620.05
10 607.5
11 597.4
12 582.9
13 574.95
14 562.5
15 552
0 731.3
0.5 720.6
1 715.35
1.5 709.8
2 698.6
3 689.35
