Date	Time	Floor	Divisions
Tues Nov 20 2018	1:31 PM	3	686
Tues Nov 20 2018	13:41	4	680.5
Tues Nov 20 2018	1:46 PM	5	665.6
Tues Nov 20 2018	1:55 PM	6	656.6
Tues Nov 20 2018	2:01 PM	7	645.45
Tues Nov 20 2018	2:05 PM	8	634.65
Tues Nov 20 2018	2:12 PM	3	692.25
Tues Nov 20 2018	2:21 PM	9	619.8
Tues Nov 20 2018	2:25 PM	10	610.3
Tues Nov 20 2018	2:28 PM	11	599.77
Tues Nov 20 2018	2:32 PM	12	584.4
Tues Nov 20 2018	2:36 PM	13	574.2
Tues Nov 20 2018	14:40	14	560.1
Tues Nov 20 2018	2:46 PM	15	551.7
Tues Nov 20 2018	2:53 PM	3	690.65
Tues Nov 20 2018	3:00 PM	B	732.1
Tues Nov 20 2018	3:06 PM	1	717
Tues Nov 20 2018	3:11 PM	1.5	712
Tues Nov 20 2018	3:16 PM	2	702.3
Tues Nov 20 2018	3:22 PM	3	689.9
Tues Nov 20 2018	3:32 PM	4	678
Tues Nov 20 2018	3:37 PM	5	666.6
Tues Nov 20 2018	3:43 PM	6	654.85
Tues Nov 20 2018	3:47 PM	7	645.2
Tues Nov 20 2018	3:50 PM	8	632.85
Thurs Nov 22 2018	1:25 PM	3	692.5
Thurs Nov 22 2018	1:31 PM	9	623.65
Thurs Nov 22 2018	1:35 PM	10	610.2
Thurs Nov 22 2018	1:39 PM	11	603.3
Thurs Nov 22 2018	1:44 PM	12	589.65
Thurs Nov 22 2018	1:48 PM	13	576.25
Thurs Nov 22 2018	1:51 PM	14	563.1
Thurs Nov 22 2018	1:54 PM	15	551.95
Thurs Nov 22 2018	14:01	B	729.75
Thurs Nov 22 2018	2:05 PM	0.5	723.1
Thurs Nov 22 2018	2:08 PM	1	718.2
Thurs Nov 22 2018	2:11 PM	1.5	710.8
Thurs Nov 22 2018	2:14 PM	2	701.7
Thurs Nov 22 2018	14:18	3	690.5
Thurs Nov 22 2018	2:20 PM	4	680.1
Thurs Nov 22 2018	2:23 PM	5	672.3
Thurs Nov 22 2018	2:26 PM	6	658.45
Thurs Nov 22 2018	2:28 PM	7	647.55
Thurs Nov 22 2018	2:31 PM	8	633.9
Thurs Nov 22 2018	2:34 PM	9	618.85
Thurs Nov 22 2018	14:36	10	611.85
Thurs Nov 22 2018	2:38 PM	11	601.8
Thurs Nov 22 2018	2:40 PM	12	588.7
Thurs Nov 22 2018	2:42 PM	13	576.2
Thurs Nov 22 2018	2:45 PM	14	563.2
Thurs Nov 22 2018	2:47 PM	15	554
Thurs Nov 22 2018	2:53 PM	B	734.75
Thurs Nov 22 2018	2:56 PM	0.5	722.1
Thurs Nov 22 2018	2:58 PM	1	718.45
Thurs Nov 22 2018	3:00 PM	1.5	709.1
Thurs Nov 22 2018	3:02 PM	2	703.95
Thurs Nov 22 2018	3:04 PM	3	690.85
Thurs Nov 22 2018	3:06 PM	4	680.4
Thurs Nov 22 2018	3:08 PM	5	669
Thurs Nov 22 2018	3:09	6	656.25
Thurs Nov 22 2018	3:12 PM	7	644
Thurs Nov 22 2018	3:13 PM	8	635.65
Thurs Nov 22 2018	3:14 PM	9	620.05
Thurs Nov 22 2018	3:17 PM	10	607.5
Thurs Nov 22 2018	3:19 PM	11	597.4
Thurs Nov 22 2018	3:21 PM	12	582.9
Thurs Nov 22 2018	3:23 PM	13	574.95
Thurs Nov 22 2018	3:25 PM	14	562.5
Thurs Nov 22 2018	3:28 PM	15	552
Thurs Nov 22 2018	3:34 PM	B	731.3
Thurs Nov 22 2018	3:37 PM	0.5	720.6
Thurs Nov 22 2018	3:39 PM	1	715.35
Thurs Nov 22 2018	3:42 PM	1.5	709.8
Thurs Nov 22 2018	3:44 PM	2	698.6
Thurs Nov 22 2018	3:46 PM	3	689.35
